student_id,year,branch,gpa,study_hours,failures,hostel,sleep_hours,family_support,interest,budget_level,skill_level,stress_level,communication_level,confusion_level
1,2,EEE,7.11,2,1,Day Scholar,7,Medium,Power Systems,High,Beginner,Medium,Average,High
2,3,IT,6.71,2,2,Day Scholar,5,Medium,Communication Skills,Low,Beginner,Medium,Average,High
3,3,CSE,8.18,3,0,Day Scholar,8,Low,AI/ML,Low,Beginner,High,Poor,Low
4,4,Mechanical,8.12,5,0,Hostel,4,High,Thermal Engineering,High,Intermediate,Low,Good,Low
5,3,CSE,6.13,1,1,Day Scholar,4,High,App Development,Medium,Beginner,High,Good,High
6,3,Mechanical,8.33,2,0,Hostel,7,Medium,Robotics,High,Beginner,Medium,Average,High
7,2,Mechanical,8.46,5,0,Day Scholar,8,High,Automobile Engineering,High,Intermediate,Low,Good,Low
8,2,Mechanical,9.2,5,0,Hostel,5,Low,Manufacturing,Low,Intermediate,High,Poor,Low
9,3,ECE,5.32,3,0,Hostel,5,High,Signal Processing,Medium,Beginner,High,Good,High
10,3,ECE,8.5,4,0,Hostel,5,Medium,VLSI Design,Medium,Intermediate,Medium,Average,Low
11,1,IT,5.13,1,0,Hostel,6,Medium,Competitive Coding,Low,Beginner,High,Average,High
12,4,EEE,8.24,4,0,Day Scholar,5,High,Renewable Energy,Low,Intermediate,Low,Good,Low
13,2,CSE,6.17,2,0,Day Scholar,7,Medium,Data Science,Low,Beginner,High,Average,High
14,1,Mechanical,6.44,3,2,Hostel,8,High,CAD Design,High,Beginner,High,Good,High
15,1,EEE,8.22,6,0,Hostel,6,Low,Smart Grid Systems,High,Intermediate,High,Poor,Low
16,1,CSE,8.04,6,2,Hostel,8,High,Cybersecurity,Medium,Intermediate,Low,Good,Low
17,3,IT,6.07,6,0,Hostel,4,High,AI/ML,High,Beginner,High,Good,High
18,4,Mechanical,7.66,5,1,Hostel,7,Low,Automobile Engineering,Low,Intermediate,High,Poor,Low
19,3,IT,8.23,2,0,Hostel,8,High,Web Development,Low,Beginner,Medium,Good,High
20,4,IT,7.83,2,0,Day Scholar,5,High,Web Development,Medium,Beginner,Medium,Good,High
21,1,ECE,6.25,6,2,Day Scholar,4,High,VLSI Design,Low,Beginner,High,Good,High
22,1,CSE,5.5,2,2,Day Scholar,6,Medium,AI/ML,Low,Beginner,High,Average,High
23,4,Mechanical,7.97,6,2,Day Scholar,5,Low,Automobile Engineering,High,Intermediate,High,Poor,Low
24,4,Mechanical,8.16,2,2,Day Scholar,5,High,Manufacturing,Low,Beginner,Medium,Good,High
25,2,IT,7.34,5,0,Day Scholar,6,High,Data Analysis,High,Beginner,Medium,Good,Medium
26,2,ECE,7.0,1,1,Day Scholar,4,High,Embedded Systems,Low,Beginner,High,Good,High
27,2,IT,7.19,1,0,Day Scholar,6,Medium,AI/ML,Low,Beginner,High,Average,High
28,2,IT,7.06,4,1,Hostel,6,Medium,Competitive Coding,Low,Beginner,Medium,Average,Medium
29,4,CSE,7.02,2,0,Day Scholar,5,Low,App Development,High,Beginner,High,Poor,High
30,2,EEE,7.54,5,2,Hostel,8,High,Electrical Design,Medium,Intermediate,Medium,Good,Low
31,2,IT,7.79,3,2,Hostel,4,Low,Data Analysis,Low,Beginner,High,Poor,Low
32,2,CSE,5.86,1,2,Hostel,8,High,AI/ML,Low,Beginner,High,Good,High
33,2,EEE,7.17,5,0,Hostel,4,High,Power Systems,Medium,Beginner,Medium,Good,Medium
34,1,IT,5.93,3,1,Day Scholar,8,Low,Competitive Coding,Medium,Beginner,High,Poor,High
35,2,IT,7.78,2,0,Day Scholar,4,High,Competitive Coding,High,Beginner,Medium,Good,High
36,4,EEE,7.47,6,1,Hostel,6,High,Electrical Design,Low,Beginner,Medium,Good,Medium
37,3,CSE,7.13,5,0,Day Scholar,7,Medium,AI/ML,High,Beginner,Medium,Average,Medium
38,3,EEE,8.76,4,0,Hostel,8,High,Power Systems,Low,Intermediate,Low,Good,Low
39,1,ECE,6.98,4,0,Hostel,6,Medium,Signal Processing,Medium,Beginner,Medium,Average,Medium
40,1,ECE,5.52,6,2,Day Scholar,8,High,Signal Processing,Medium,Beginner,High,Good,High
41,2,Mechanical,6.36,4,0,Hostel,8,Medium,Thermal Engineering,Medium,Beginner,High,Average,High
42,1,EEE,5.46,2,0,Hostel,6,Low,Industrial Automation,Medium,Beginner,High,Poor,High
43,1,IT,7.38,5,0,Hostel,5,Low,Communication Skills,Low,Beginner,High,Poor,Medium
44,2,CSE,8.05,6,1,Day Scholar,6,Medium,AI/ML,Medium,Intermediate,Medium,Average,Low
45,4,Mechanical,5.79,4,0,Hostel,5,Low,Thermal Engineering,High,Beginner,High,Poor,High
46,3,EEE,8.74,6,0,Hostel,5,Low,Smart Grid Systems,High,Intermediate,High,Poor,Low
47,2,CSE,9.4,3,2,Day Scholar,8,High,Web Development,High,Beginner,Medium,Good,Low
48,1,IT,8.92,3,0,Hostel,6,High,AI/ML,High,Beginner,Medium,Good,Low
49,2,IT,8.44,6,2,Hostel,8,High,Competitive Coding,Low,Intermediate,Low,Good,Low
50,3,EEE,7.09,4,0,Day Scholar,4,High,Industrial Automation,High,Beginner,Medium,Good,Medium
51,4,EEE,8.46,1,2,Day Scholar,6,High,Electrical Design,High,Beginner,High,Good,High
52,1,IT,9.15,3,2,Hostel,7,Low,Web Development,High,Beginner,High,Poor,Low
53,1,EEE,6.22,2,1,Hostel,8,High,Industrial Automation,High,Beginner,High,Good,High
54,3,CSE,6.05,2,1,Hostel,4,Low,App Development,High,Beginner,High,Poor,High
55,4,CSE,6.27,4,0,Hostel,6,Low,App Development,Low,Beginner,High,Poor,High
56,3,Mechanical,6.43,3,0,Day Scholar,5,Medium,Thermal Engineering,Medium,Beginner,High,Average,High
57,1,IT,9.48,2,0,Hostel,8,High,AI/ML,High,Beginner,Medium,Good,High
58,3,IT,5.33,3,2,Day Scholar,8,Medium,Data Analysis,Low,Beginner,High,Average,High
59,3,Mechanical,8.36,4,0,Hostel,8,High,CAD Design,High,Intermediate,Low,Good,Low
60,3,IT,5.55,6,0,Day Scholar,8,Low,Competitive Coding,Medium,Beginner,High,Poor,High
